Date,Open,High,Low,Close,Adj Close,Volume
3/26/2018,238,244.529999,235.899994,244.479996,243.700089,15285600
3/27/2018,247.75,250,219.850006,225.520004,224.800568,35225000
3/28/2018,224.130005,229.389999,217,221.350006,220.64389,23647600
3/29/2018,224.110001,235.5,220.699997,231.589996,230.851196,22915700
4/2/2018,228.740005,234.649994,217.5,221.050003,220.344818,23052300
4/3/2018,227.800003,230.350006,221.350006,225.350006,224.631119,16685800
4/4/2018,215.009995,226.660004,214,226.240005,225.51828,19729200
4/5/2018,228.600006,229.130005,218.490005,221.380005,220.673767,17531000
4/6/2018,217.229996,221.600006,213.070007,214.25,213.566498,16574700
4/9/2018,216.800003,221.970001,214.600006,215.410004,214.722824,12488100
4/10/2018,224.720001,229,222.410004,227.910004,227.182953,19041900
4/11/2018,227.309998,228.979996,224.919998,226.240005,225.51828,11506100
4/12/2018,230,235.320007,228.210007,234.600006,233.851608,14848000
4/13/2018,237.169998,237.509995,229.550003,231.5,230.76149,12575900
4/16/2018,231.770004,232.839996,227.679993,231.490005,230.751526,8769800
4/17/2018,233.600006,238.399994,231.350006,237.539993,236.782211,11180600
4/18/2018,235.5,239.25,232.770004,236.369995,235.615936,9784100
4/19/2018,231.75,233.100006,226.800003,229.039993,228.309341,11799900
4/20/2018,228.690002,232.100006,227.449997,228.710007,227.980392,9655000
4/23/2018,229.429993,231.5,222.830002,223.880005,223.165787,10687700
4/24/2018,224.919998,228.800003,218.559998,221.199997,220.494354,10364900
4/25/2018,220,221.580002,210.300003,216.660004,215.968826,14712300
4/26/2018,223.199997,225.550003,220.529999,225.220001,224.501511,9395600
4/27/2018,229.5,230.300003,224.619995,226.330002,225.607971,10021200
4/30/2018,226.990005,229,224.119995,224.899994,224.182541,8196100
5/1/2018,224.570007,227.25,222.199997,227.139999,226.415421,6344700
5/2/2018,227,228.800003,225.25,226.309998,225.588043,6706200
5/3/2018,227.600006,234.050003,225.770004,232.990005,232.246719,11078600
5/4/2018,231.830002,239.190002,231.130005,239.059998,238.297363,10016500
5/7/2018,243.289993,250.990005,242.889999,248.679993,247.886673,17190400
5/8/2018,248.690002,250.509995,246.710007,250.399994,249.601196,12665400
5/9/2018,251.210007,255.869995,250.110001,255.779999,254.96402,14919000
5/10/2018,257.920013,260.5,257.200012,260.130005,259.30014,24852000
5/11/2018,252.779999,259.790009,250.539993,254.529999,253.718002,30361400
5/14/2018,256.070007,258.48999,254.399994,255.360001,254.545364,13078500
5/15/2018,252.789993,252.899994,241.5,245.559998,244.776627,24088200
5/16/2018,244,248.520004,242.509995,246.009995,245.225189,13845700
5/17/2018,246.080002,251.5,245.429993,247.710007,246.919785,12994600
5/18/2018,249.809998,252.369995,245.740005,245.940002,245.155411,12092900
5/21/2018,249.880005,250.029999,240.490005,244.240005,243.460846,16015600
5/22/2018,244.779999,245.800003,240.25,242.699997,241.925751,12956600
5/23/2018,240.279999,247.589996,240.25,247.539993,246.902908,11033700
5/24/2018,247.389999,249.399994,245.240005,247.690002,247.052521,10934300
5/25/2018,248.199997,249.940002,246.759995,249.279999,248.638428,7302800
5/29/2018,248.550003,251.339996,246.699997,248.589996,247.950211,8817100
5/30/2018,249.949997,253.339996,248.949997,252.990005,252.338882,9774900
5/31/2018,251.699997,255.199997,251.270004,252.190002,251.540955,12346700
6/1/2018,254,257.869995,253.649994,257.619995,256.95697,10549200
6/4/2018,259,265.73999,257.700012,264.850006,264.168365,16050600
6/5/2018,264.980011,266.589996,263.170013,265.070007,264.387787,9792800
6/6/2018,261.429993,265.279999,260.769989,265.149994,264.46759,9283900
6/7/2018,265,265.480011,259.25,262.899994,262.223389,9236200
6/8/2018,259.959991,264,259.200012,262.279999,261.60495,9011400
6/11/2018,261.769989,263.450012,260.100006,260.619995,259.949249,6634300
6/12/2018,261.690002,263.070007,259.660004,262.579987,261.904175,7979000
6/13/2018,262.640015,265.670013,262.029999,262.399994,261.72464,8455200
6/14/2018,264.220001,269.200012,263.619995,266.910004,266.223053,10750400
6/15/2018,264.600006,267.480011,263.350006,265.26001,264.577332,10806500
6/18/2018,263.480011,265.799988,262.380005,265.089996,264.407745,8906700
6/19/2018,260.920013,263.640015,255.020004,260.170013,259.500427,14873300
6/20/2018,261.829987,264.450012,260.279999,262.309998,261.634857,9244500
6/21/2018,263.600006,264.339996,256.799988,257.109985,256.448273,8987900
6/22/2018,257.950012,258.48999,250.330002,250.949997,250.304138,10854000
6/25/2018,246.649994,246.800003,235.539993,239.119995,238.504578,16645400
6/26/2018,243.699997,245.649994,239.910004,241.990005,241.367218,11972100
6/27/2018,243.75,246.429993,235.5,235.720001,235.113327,11347300
6/28/2018,235.320007,241.339996,235.009995,240.860001,240.240112,8450300
6/29/2018,243.490005,244,236.850006,236.899994,236.290298,9807500
7/2/2018,234.089996,242.389999,233.259995,242.240005,241.616562,8939300
7/3/2018,243.639999,243.880005,236.5,236.839996,236.230453,5568300
7/5/2018,239.070007,242.929993,237.5,242.729996,242.105286,7655400
7/6/2018,241.740005,247.669998,240.880005,247.330002,246.693466,7408800
7/9/2018,250.330002,250.720001,246.070007,249.25,248.608505,7597000
7/10/2018,249.75,254.139999,248.119995,253.25,252.598221,9000400
7/11/2018,249.5,250.899994,247.100006,247.529999,246.892929,9187700
7/12/2018,249.360001,253.169998,248.960007,251.229996,250.583405,8637700
7/13/2018,251.979996,251.979996,247.619995,249.320007,248.678345,6174700
7/16/2018,248.199997,250.339996,247.699997,248.199997,247.561203,4925900
7/17/2018,246.210007,254.300003,245.179993,253.690002,253.037079,9053400
7/18/2018,253.389999,253.949997,249.639999,251.699997,251.0522,6941000
7/19/2018,250.940002,253.389999,250.330002,252.029999,251.381363,5893800
7/20/2018,251.929993,253.5,250.449997,250.889999,250.244293,5558800
7/23/2018,249.820007,249.889999,243.279999,249.410004,248.768097,7539600
7/24/2018,251.350006,254.850006,248,248.710007,248.069916,8865500
7/25/2018,249.089996,252.380005,246.75,251.869995,251.221771,7977800
7/26/2018,251.059998,256.329987,250.380005,254.839996,254.184113,8128100
7/27/2018,256.320007,256.600006,249.839996,252.020004,251.371399,7385500
